SUBJECT	PCA1	PCA2	PCA3	PCA4	PCA5	PCA6	PCA7	PCA8	PCA9	PCA10	PCAETHSPECIFIC	ETH_DESCRIP	PCAETHBROAD
9482	-0.0055	-0.0053	-0.0025	-5.00E-04	0.0071	-0.0031	0.0031	-0.0065	0.0041	0.0021	European	NA	European
2167	-0.004	-0.0062	0.0028	0.002	-3.00E-04	-0.0083	0.0016	0.0192	-0.0024	0.0013	European	NA	European
9470	-0.0049	-0.0064	-4.00E-04	0.001	-0.0026	-0.0019	-0.0074	-0.004	-0.0011	0.0045	European	NA	European
9409	-0.0049	-0.0057	0.0023	8.00E-04	-0.0037	-0.0011	-0.0108	0.0027	0.0018	-0.0064	European	NA	European
1030	-0.0041	-0.0049	-0.0018	-3.00E-04	0.0022	0.0016	0.0071	-0.0122	-0.0117	0.0065	European	NA	European
324	-0.0052	-0.005	-0.0017	-0.0038	0.0014	-0.0083	-0.0026	-0.0046	5.00E-04	0.0186	European	NA	European
7382	-0.0051	-0.0047	-0.0013	-0.004	-0.0018	0.0053	-0.0023	-0.0061	-2.00E-04	0.0144	European	NA	European
899	-0.0047	-0.0042	-4.00E-04	0.0034	-0.0012	0.0043	0.0023	0.01	-0.0029	0.0035	European	NA	European
9316	-0.0051	-0.005	-4.00E-04	-0.0043	0.0087	0.0017	-5.00E-04	-0.0062	-0.0043	-0.0107	European	NA	European
3854	-0.0042	-0.0052	-0.0025	0.001	-0.0046	-0.0016	0.0024	0.0086	0.0018	0.0054	European	NA	European
5854	-0.0053	-0.0056	0.0038	-0.0012	-0.0048	-0.0044	-3.00E-04	-4.00E-04	0.003	0.0058	European	NA	European
2378	-0.0046	-0.0047	0.0024	-0.0022	0	0.0024	-0.0071	0.0071	-0.0018	-0.0039	European	NA	European
2229	-0.0028	-0.0053	-0.0039	8.00E-04	-8.00E-04	0.0098	9.00E-04	-0.0028	0.0032	0.0137	European	NA	European
10112	-0.0054	-0.0058	-3.00E-04	-0.0012	0.0011	0.0011	-0.0047	-0.0028	-6.00E-04	-0.001	European	NA	European
8364	-0.0053	-0.0058	8.00E-04	-0.001	-0.0046	-0.0054	-0.0019	0.0019	-0.0039	-0.0031	European	NA	European
2999	-0.0055	-0.0052	-4.00E-04	2.00E-04	6.00E-04	-1.00E-04	0.0016	0.0014	0.0018	-0.0018	European	NA	European
6741	-0.0054	-0.0049	0.0032	0.0013	4.00E-04	5.00E-04	-0.0151	0.0103	-0.0045	-0.0083	European	NA	European
8641	-0.0049	-0.0066	-6.00E-04	0.0056	-0.0051	0.0021	-5.00E-04	-0.0046	-5.00E-04	0.0059	European	NA	European
9291	-0.0047	-0.006	5.00E-04	-0.0033	-0.0017	0.0011	0.0051	0.0015	0.0039	0.0013	European	NA	European
8323	-0.0054	-0.0048	0.0037	-0.001	-0.0015	-0.0034	-0.0052	0.0031	-0.0035	-0.0058	European	NA	European
604	0.0017	0	-0.0132	0.0131	-0.0029	0.0582	-0.0013	-0.0041	-0.0047	-0.0098	Unspecified	NA	Unspecified
5247	0.0162	-0.0084	-4.00E-04	-3.00E-04	-0.0066	0.0236	-0.0078	0.0477	0.0392	-0.0266	Unspecified	NA	Unspecified
9096	-0.0028	-3.00E-04	0.0038	0.0032	0.0048	-0.0034	-0.0073	0.0055	-0.0078	-2.00E-04	Unspecified	NA	Unspecified
3360	0.0115	-0.0081	1.00E-04	0.0053	-2.00E-04	0.004	0.0371	-0.0731	0.0374	-0.0324	Unspecified	NA	Unspecified
9305	0.0081	-0.008	-0.0021	-6.00E-04	0.0059	0.0028	0.0086	0.0575	0.0035	-0.0279	Unspecified	NA	Unspecified
4132	0.0239	-0.0144	0	-0.0029	-0.0027	2.00E-04	0.0033	0.0039	0.0099	-0.0117	Unspecified	NA	Unspecified
7186	0	0.003	-0.0182	0.0161	0.0077	-0.0134	0.0036	-0.0025	-0.0085	-0.0035	Unspecified	NA	Unspecified
2301	0.0429	-0.0208	2.00E-04	-0.0024	0.0055	-0.0099	0.0271	0.0601	-0.019	-0.0143	Unspecified	NA	Unspecified
9305	0.0081	-0.008	-0.0021	-6.00E-04	0.0059	0.0028	0.0086	0.0575	0.0035	-0.0279	Unspecified	NA	Unspecified
4940	-0.0016	0.0012	-0.0106	0.0087	-3.00E-04	0.0013	-0.0058	0.002	-0.002	-0.0037	Unspecified	NA	Unspecified
9777	-0.0032	-8.00E-04	0.002	0.0063	-0.0011	0.0037	-0.0084	0.0014	-0.0056	-0.0107	Unspecified	NA	Unspecified
2090	-6.00E-04	0.0037	-7.00E-04	0.0115	0.0032	-0.0114	0.0084	0.0046	0.0065	0.0022	Unspecified	NA	Unspecified
3562	0.0166	-0.0023	-0.0197	0.0139	-0.0052	-0.0074	0.0013	0.0139	0.0082	-0.0127	Unspecified	NA	Unspecified
1077	-0.0052	-0.0058	0.0033	-0.002	0.0049	7.00E-04	0.002	-0.006	-0.0022	-2.00E-04	Unspecified	NA	Unspecified
4035	0.0016	-0.0017	-0.0084	0.0067	-2.00E-04	7.00E-04	0.0492	0.0122	0.0035	0.0015	Unspecified	NA	Unspecified
9157	0.0023	0.0104	0.0041	-0.0054	3.00E-04	0.0031	0.002	-0.0147	0.0113	-0.002	Unspecified	NA	Unspecified
3561	0.0251	-0.0133	-1.00E-04	0.0021	-0.0027	-0.0101	0.0022	0.0282	-0.0163	-0.0067	Unspecified	NA	Unspecified
672	0.0109	-0.0093	-0.0066	0.0071	0.0046	-4.00E-04	0.0095	0.0156	0.0076	0.0076	Unspecified	NA	Unspecified
5302	0.0173	-0.0064	-0.008	0.0042	-0.0131	0.0329	-0.0283	0.0605	0.0316	-0.0131	Unspecified	NA	Unspecified
6826	0.0031	0.0142	0.014	0.0084	-0.0056	0.0032	-0.0079	0.012	0.0044	-0.0025	Unspecified	NA	Unspecified
4576	0.0059	0.0103	-0.0445	0.0309	-0.0045	-0.0149	0.0053	-0.0051	-0.0102	0.0057	East Asian	NA	East or Southeast Asian
4151	0.0053	0.0108	-0.0371	0.0317	-0.0046	-0.0195	8.00E-04	-0.0015	0.0054	-0.0078	East Asian	NA	East or Southeast Asian
3338	0.0047	0.0098	-0.0357	0.0303	-0.0053	-0.0099	0.0028	-0.0037	-8.00E-04	0.0046	East Asian	NA	East or Southeast Asian
6897	0.0056	0.0101	-0.0417	0.0216	0.0054	-0.0153	-0.0106	-0.0058	-0.0057	-0.0173	East Asian	NA	East or Southeast Asian
4197	0.0059	0.0108	-0.0366	0.0299	-0.0062	-0.0221	0.012	4.00E-04	0.0026	0.0131	East Asian	NA	East or Southeast Asian
3350	0.0048	0.0099	-0.0384	0.0306	-0.0043	-0.0149	0.009	0.0043	0.0041	0.0143	East Asian	NA	East or Southeast Asian
